Year,Sector,Fuel.Type,Methane.emissions,Industry.Type
2017,Power Plants,1,22,"C,D"
2017,Power Plants,4,2416.25,"C,D"
2017,Power Plants,2,22.5,"C,D"
2017,Power Plants,2,23.75,"C,D"
2017,Power Plants,2,22.75,"C,D"
2017,Power Plants,2,4.5,"C,D"
2017,Power Plants,4,1.5,"C,D"
2017,Power Plants,2,0.5,"C,D"
2016,Power Plants,1,745.5,"C,D"
2016,Power Plants,4,5.5,"C,D"
2016,Power Plants,1,916,"C,D"
2016,Power Plants,4,7.25,"C,D"
2016,Power Plants,2,37.5,"C,D"
2016,Power Plants,2,33.25,"C,D"
2016,Power Plants,2,30,"C,D"
2016,Power Plants,2,0.5,"C,D"
2016,Power Plants,4,0.25,"C,D"
2015,Power Plants,1,11179.25,"C,D"
2015,Power Plants,4,5,"C,D"
2015,Power Plants,1,9466.75,"C,D"
2015,Power Plants,4,4.5,"C,D"
2015,Power Plants,2,4,"C,D"
2015,Power Plants,2,13.25,"C,D"
2015,Power Plants,2,5,"C,D"
2015,Power Plants,2,0.5,"C,D"
2015,Power Plants,4,1,"C,D"
2014,Power Plants,1,10496.25,"C,D"
2014,Power Plants,4,7.5,"C,D"
2014,Power Plants,1,10857.25,"C,D"
2014,Power Plants,4,8.5,"C,D"
2014,Power Plants,2,17.25,"C,D"
2014,Power Plants,2,21,"C,D"
2014,Power Plants,2,23,"C,D"
2014,Power Plants,2,0.5,"C,D"
2013,Power Plants,1,9570.75,"C,D"
2013,Power Plants,4,7.75,"C,D"
2013,Power Plants,1,11912.5,"C,D"
2013,Power Plants,4,5.5,"C,D"
2013,Power Plants,2,22.5,"C,D"
2013,Power Plants,2,27,"C,D"
2013,Power Plants,2,33.5,"C,D"
2013,Power Plants,2,0.5,"C,D"
2013,Power Plants,4,5,"C,D"
2012,Power Plants,1,11158.75,"C,D"
2012,Power Plants,4,6.25,"C,D"
2012,Power Plants,1,9686.25,"C,D"
2012,Power Plants,4,7.5,"C,D"
2012,Power Plants,2,16,"C,D"
2012,Power Plants,2,13,"C,D"
2012,Power Plants,2,11,"C,D"
2012,Power Plants,2,0.75,"C,D"
2012,Power Plants,4,0.75,"C,D"
2011,Power Plants,1,9150,"C,D"
2011,Power Plants,4,7.5,"C,D"
2011,Power Plants,1,13050.5,"C,D"
2011,Power Plants,4,5.25,"C,D"
2011,Power Plants,2,8.5,"C,D"
2011,Power Plants,2,8.25,"C,D"
2011,Power Plants,2,9,"C,D"
2011,Power Plants,2,0.5,"C,D"
2013,Power Plants,2,0.25,"C,D"
2012,Power Plants,2,0.25,"C,D"
2011,Power Plants,2,0.5,"C,D"
2022,Power Plants,2,482.25,"C,D"
2022,Power Plants,2,438.5,"C,D"
2022,Power Plants,2,391.25,"C,D"
2022,Power Plants,1,397.5,"C,D"
2022,Power Plants,1,422.25,"C,D"
2022,Power Plants,2,84.25,"C,D"
2022,Power Plants,4,6.5,"C,D"
2022,Power Plants,2,0.25,"C,D"
2021,Power Plants,1,404.75,"C,D"
2021,Power Plants,1,444.5,"C,D"
2021,Power Plants,2,69.5,"C,D"
2021,Power Plants,4,9.75,"C,D"
2021,Power Plants,2,0.25,"C,D"
2020,Power Plants,1,251.5,"C,D"
2020,Power Plants,1,237.25,"C,D"
2020,Power Plants,2,21.5,"C,D"
2020,Power Plants,4,8,"C,D"
2020,Power Plants,2,0.25,"C,D"
2019,Power Plants,1,258,"C,D"
2019,Power Plants,1,259,"C,D"
2019,Power Plants,2,23,"C,D"
2019,Power Plants,4,6,"C,D"
2019,Power Plants,2,0.25,"C,D"
2018,Power Plants,1,325.5,"C,D"
2018,Power Plants,1,368.5,"C,D"
2018,Power Plants,2,32,"C,D"
2018,Power Plants,4,8.5,"C,D"
2018,Power Plants,2,0.25,"C,D"
2017,Power Plants,1,402,"C,D"
2017,Power Plants,1,331.75,"C,D"
2017,Power Plants,2,55,"C,D"
2017,Power Plants,4,18,"C,D"
2017,Power Plants,2,0.25,"C,D"
2016,Power Plants,1,253,"C,D"
2016,Power Plants,1,368.5,"C,D"
2016,Power Plants,2,50,"C,D"
2016,Power Plants,4,12.75,"C,D"
2016,Power Plants,1,109,"C,D"
2016,Power Plants,2,0.5,"C,D"
2016,Power Plants,2,0.25,"C,D"
2015,Power Plants,1,270.5,"C,D"
2015,Power Plants,1,274.25,"C,D"
2015,Power Plants,2,6,"C,D"
2015,Power Plants,4,10,"C,D"
2015,Power Plants,1,473.25,"C,D"
2015,Power Plants,2,1,"C,D"
2015,Power Plants,2,0.25,"C,D"
2014,Power Plants,1,273.5,"C,D"
2014,Power Plants,1,273,"C,D"
2014,Power Plants,2,3.25,"C,D"
2014,Power Plants,4,4.5,"C,D"
2014,Power Plants,1,421,"C,D"
2014,Power Plants,2,1,"C,D"
2014,Power Plants,2,0.25,"C,D"
2013,Power Plants,1,301.25,"C,D"
2013,Power Plants,1,395.5,"C,D"
2013,Power Plants,2,21.25,"C,D"
2013,Power Plants,4,10,"C,D"
2013,Power Plants,1,424.75,"C,D"
2013,Power Plants,2,1,"C,D"
2013,Power Plants,2,0.25,"C,D"
2012,Power Plants,1,307.5,"C,D"
2012,Power Plants,1,277.25,"C,D"
2012,Power Plants,2,41.75,"C,D"
2012,Power Plants,4,9,"C,D"
2012,Power Plants,1,394.25,"C,D"
2012,Power Plants,2,1,"C,D"
2012,Power Plants,2,0.5,"C,D"
2011,Power Plants,1,317.5,"C,D"
2011,Power Plants,1,370,"C,D"
2011,Power Plants,2,41.75,"C,D"
2011,Power Plants,4,10.75,"C,D"
2011,Power Plants,1,415,"C,D"
2011,Power Plants,2,1,"C,D"
2011,Power Plants,2,0.5,"C,D"
2022,Power Plants,2,11.5,"C,D"
2022,Power Plants,3,1.25,"C,D"
2022,Power Plants,2,13.5,"C,D"
2022,Power Plants,3,1,"C,D"
2022,Power Plants,2,10,"C,D"
2022,Power Plants,3,1,"C,D"
2022,Power Plants,2,0.5,"C,D"
2022,Power Plants,2,331.5,"C,D"
2022,Power Plants,2,336,"C,D"
2022,Power Plants,2,146,"C,D"
2021,Power Plants,2,12.75,"C,D"
2021,Power Plants,3,1.25,"C,D"
2021,Power Plants,2,15.5,"C,D"
2021,Power Plants,3,1.25,"C,D"
2021,Power Plants,2,10.75,"C,D"
2021,Power Plants,3,1.25,"C,D"
2021,Power Plants,2,0.25,"C,D"
2021,Power Plants,2,278,"C,D"
2021,Power Plants,2,284.75,"C,D"
2021,Power Plants,2,119,"C,D"
2020,Power Plants,2,28.75,"C,D"
2020,Power Plants,3,1,"C,D"
2020,Power Plants,2,29.25,"C,D"
2020,Power Plants,3,0.75,"C,D"
2020,Power Plants,2,13.75,"C,D"
2020,Power Plants,3,0.75,"C,D"
2020,Power Plants,2,318,"C,D"
2020,Power Plants,2,330.5,"C,D"
2020,Power Plants,2,248.5,"C,D"
2019,Power Plants,2,9,"C,D"
2019,Power Plants,3,1.5,"C,D"
2019,Power Plants,2,7.75,"C,D"
2019,Power Plants,3,1.25,"C,D"
2019,Power Plants,2,9.5,"C,D"
2019,Power Plants,3,1.25,"C,D"
2019,Power Plants,2,337.25,"C,D"
2019,Power Plants,2,370.25,"C,D"
2019,Power Plants,2,219.5,"C,D"
2018,Power Plants,2,9,"C,D"
2018,Power Plants,3,1.5,"C,D"
2018,Power Plants,2,9.75,"C,D"
2018,Power Plants,3,1.5,"C,D"
2018,Power Plants,2,6.25,"C,D"
2018,Power Plants,3,1.25,"C,D"
2018,Power Plants,2,325.5,"C,D"
2018,Power Plants,2,339,"C,D"
2018,Power Plants,2,169,"C,D"
2017,Power Plants,2,8.25,"C,D"
2017,Power Plants,3,1.5,"C,D"
2017,Power Plants,2,10.75,"C,D"
2017,Power Plants,3,1.75,"C,D"
2017,Power Plants,2,7.5,"C,D"
2017,Power Plants,3,1.5,"C,D"
2017,Power Plants,2,326,"C,D"
2017,Power Plants,2,333,"C,D"
2017,Power Plants,2,59.5,"C,D"
2016,Power Plants,2,7.25,"C,D"
2016,Power Plants,3,1.5,"C,D"
2016,Power Plants,2,9,"C,D"
2016,Power Plants,3,1.5,"C,D"
2016,Power Plants,2,5.75,"C,D"
2016,Power Plants,3,1.25,"C,D"
2016,Power Plants,2,335.25,"C,D"
2016,Power Plants,2,336,"C,D"
2016,Power Plants,2,166.5,"C,D"
2015,Power Plants,2,6,"C,D"
2015,Power Plants,3,1,"C,D"
2015,Power Plants,2,9,"C,D"
2015,Power Plants,3,1.5,"C,D"
2015,Power Plants,2,11.5,"C,D"
2015,Power Plants,3,1,"C,D"
2015,Power Plants,2,245,"C,D"
2015,Power Plants,2,249,"C,D"
2015,Power Plants,2,114.75,"C,D"
2014,Power Plants,2,6.75,"C,D"
2014,Power Plants,3,1.25,"C,D"
2014,Power Plants,2,8,"C,D"
2014,Power Plants,3,1.75,"C,D"
2014,Power Plants,2,6.25,"C,D"
2014,Power Plants,3,1.5,"C,D"
2014,Power Plants,2,201.75,"C,D"
2014,Power Plants,2,196.25,"C,D"
2014,Power Plants,2,22.75,"C,D"
2013,Power Plants,2,6.75,"C,D"
2013,Power Plants,3,1.5,"C,D"
2013,Power Plants,2,5,"C,D"
